CustomerID,Gender,Age,Annual_Income_k_USD,Spending_Score_1_100,Purchase_Frequency_Per_Month,Preferred_Category,Cluster
CUST-001,Female,19,15,39,2,Apparel,1
CUST-002,Male,21,15,81,8,Electronics,2
CUST-003,Female,20,16,6,1,Home Goods,3
CUST-004,Female,23,16,77,7,Apparel,2
CUST-005,Female,31,17,40,3,Books,1
CUST-006,Female,22,17,76,6,Apparel,2
CUST-007,Female,35,18,6,1,Home Goods,3
CUST-008,Female,23,18,94,9,Electronics,0
CUST-009,Male,64,19,3,1,Books,3
CUST-010,Female,30,19,72,7,Apparel,2
CUST-011,Male,67,19,14,2,Home Goods,3
CUST-012,Female,35,19,99,10,Electronics,0
CUST-013,Female,58,20,15,2,Books,3
CUST-014,Female,24,20,77,8,Apparel,2
CUST-015,Male,37,20,13,1,Home Goods,3
CUST-016,Male,22,20,79,8,Electronics,2
CUST-017,Female,35,21,35,3,Apparel,1
CUST-018,Male,20,21,66,6,Electronics,2
CUST-019,Male,52,23,29,2,Home Goods,1
CUST-020,Female,35,23,98,10,Electronics,0
CUST-021,Male,35,24,35,3,Books,1
CUST-022,Male,25,24,73,7,Apparel,2
CUST-023,Female,46,25,5,1,Home Goods,3
CUST-024,Male,31,25,73,8,Electronics,2
CUST-025,Female,54,28,14,2,Books,3
CUST-026,Male,29,28,82,9,Apparel,4
CUST-027,Female,45,28,32,3,Home Goods,1
CUST-028,Male,35,28,61,6,Electronics,2
CUST-029,Female,40,29,31,2,Books,1
CUST-030,Female,23,29,87,9,Apparel,4
